name,year,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend,legs,production_budget,theater_counts,mpaa_rating,running_time,genre,production_method,creative_type,production_companies,synopsis,link
Beauty and the Beast,2017,504014165,759506961,1263521126,174750616,2.88,160000000,8.5,PG,123,Musical,Animation/Live Action,Fantasy,Walt Disney Pictures,"The fantastic journey of Belle, a bright, beautiful and independent young woman who is taken prisoner by a Beast in his castle. Despite her fears, she befriends the castle's enchanted staff and learns to look beyond the Beast's hideous exterior and realize the kind heart of the true Prince within. ",https://www.the-numbers.com/movie/Beauty-and-the-Beast-(2017)#tab=summary
Finding Dory,2016,486295561,542275328,1028570889,135060273,3.6,200000000,7.6,PG,103,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,"Reunites the friendly-but-forgetful blue tang fish with her loved ones, and everyone learns a few things about the true meaning of family along the way. ",https://www.the-numbers.com/movie/Finding-Dory#tab=summary
Frozen II,2019,477373578,972653355,1450026933,130263358,3.66,150000000,8.6,PG,103,Adventure,Digital Animation,Kids Fiction,Walt Disney Animation Studios,"Why was Elsa born with magical powers? The answer is calling her and threatening her kingdom. Together with Anna, Kristoff, Olaf and Sven, she'll set out on a dangerous but remarkable journey. In 'Frozen,' Elsa feared her powers were too much for the world. In 'Frozen 2,' she must hope they are enough. ",https://www.the-numbers.com/movie/Frozen-II-(2019)#tab=summary
Star Wars Ep. I: The Phantom Menace,1999,474544677,552500000,1027044677,64810970,7.32,115000000,15.1,PG,133,Adventure,Animation/Live Action,Science Fiction,Lucasfilm,"Stranded on the desert planet Tatooine after rescuing young Queen Amidala from the impending invasion of Naboo, Jedi apprentice Obi-Wan Kenobi and his Jedi Master Qui-Gon Jinn discover nine-year-old Anakin Skywalker, a young slave unusually strong in the Force. Anakin wins a thrilling Podrace and with it his freedom as he leaves his home to be trained as a Jedi. The heroes return to Naboo where Anakin and the Queen face massive invasion forces while the two Jedi contend with a deadly foe named Darth Maul. Only then do they realize the invasion is merely the first step in a sinister scheme by the re-emergent forces of darkness known as the Sith. ",https://www.the-numbers.com/movie/Star-Wars-Ep-I-The-Phantom-Menace#tab=summary
Star Wars Ep. IV: A New Hope,1977,460998007,314400000,775398007,1554475,12.84,11000000,18.4,PG,119,Adventure,Live Action,Science Fiction,20th Century Fox,,https://www.the-numbers.com/movie/Star-Wars-Ep-IV-A-New-Hope#tab=summary
Avengers: Age of Ultron,2015,459005868,944008095,1403013963,191271109,2.4,365000000,7,PG-13,141,Action,Animation/Live Action,Super Hero,Marvel Studios,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth's mightiest heroes, including Iron Man, Captain America, Thor, The Incredible Hulk, Black Widow and Hawkeye, are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, which soon leads to some uneasy alliances. Along the way, they confront two mysterious and powerful newcomers, Wanda and Pietro Maximoff and meet an old friend in a new form, Vision.",https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary
The Dark Knight Rises,2012,448139099,636300000,1084439099,160887295,2.79,230000000,7.4,PG-13,164,Action,Live Action,Super Hero,Warner Bros.,"It has been eight years since Batman vanished into the night, turning, in that instant, from hero to fugitive. Assuming the blame for the death of D.A. Harvey Dent, the Dark Knight sacrificed everything for what he and Commissioner Gordon both hoped was the greater good. For a time the lie worked, as criminal activity in Gotham City was crushed under the weight of the anti-crime Dent Act.But everything will change with the arrival of a cunning cat burglar with a mysterious agenda. Far more dangerous, however, is the emergence of Bane, a masked terrorist whose ruthless plans for Gotham drive Bruce out of his self-imposed exile. But even if he dons the cape and cowl again, Batman may be no match for Bane.",https://www.the-numbers.com/movie/Dark-Knight-Rises-The#tab=summary
Shrek 2,2004,441226247,494558583,935784830,108037878,4.08,70000000,8,PG,92,Adventure,Digital Animation,Kids Fiction,PDI,"After battling a fire-breathing dragon and the evil Lord Farquaad to win the hand of Princess Fiona, Shrek now faces his greatest challenge: the in-laws. Shrek and Princess Fiona return from their honeymoon to find an invitation to visit Fiona's parents, the King and Queen of the Kingdom of Far, Far Away. With Donkey along for the ride, the newlyweds set off. All of the citizens of Far, Far Away turn out to greet their returning Princess, and her parents happily anticipate the homecoming of their daughter and her new Prince. But no one could have prepared them for the sight of their new son-in-law, not to mention how much their little girl had changed. Little did Shrek and Fiona know that their marriage had foiled all of her father's plans for her future--and his own. Now the King must enlist the help of a powerful Fairy Godmother, the handsome Prince Charming and that famed ogre killer 'Puss In Boots' to put right his version of ""happily ever after.""",https://www.the-numbers.com/movie/Shrek-2#tab=summary
ET: The Extra-Terrestrial,1982,435110554,357854772,792965326,11911430,25.22,10500000,20.6,PG,114,Drama,Live Action,Kids Fiction,Universal Pictures,,https://www.the-numbers.com/movie/ET-The-Extra-Terrestrial#tab=summary
Toy Story 4,2019,434038008,639356805,1073394813,120908065,3.59,200000000,8.3,G,89,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,"Woody has always been confident about his place in the world, and that his priority is taking care of his kid, whether that's Andy or Bonnie. So when Bonnie's beloved new craft-project-turned-toy, Forky, declares himself as 'trash' and not a toy, Woody takes it upon himself to show Forky why he should embrace being a toy. But when Bonnie takes the whole gang on her family's road trip excursion, Woody ends up on an unexpected detour that includes a reunion with his long-lost friend Bo Peep. After years of being on her own, Bo's adventurous spirit and life on the road belie her delicate porcelain exterior. As Woody and Bo realize they're worlds apart when it comes to life as a toy, they soon come to find that's the least of their worries.   ",https://www.the-numbers.com/movie/Toy-Story-4-(2019)#tab=summary
Captain Marvel,2019,426829839,702900000,1129729839,153433423,2.78,175000000,7.9,PG-13,124,Action,Animation/Live Action,Super Hero,Marvel Studios,The story follows Carol Danvers as she becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,https://www.the-numbers.com/movie/Captain-Marvel-(2019)#tab=summary
The Hunger Games: Catching Fire,2013,424668047,440200000,864868047,158074286,2.69,130000000,7.3,PG-13,146,Adventure,Live Action,Science Fiction,Lionsgate,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games - a competition that could change Panem forever.",https://www.the-numbers.com/movie/Hunger-Games-Catching-Fire-The#tab=summary
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642900000,1066215812,135634554,3.12,225000000,8.3,PG-13,151,Adventure,Live Action,Historical Fiction,Walt Disney Pictures,,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest#tab=summary
The Lion King,1994,421785283,564429585,986214868,1586753,10.32,79300000,23,G,87,Adventure,Hand Animation,Kids Fiction,Walt Disney Pictures,"The story of a lion cub's journey to adulthood and acceptance of his royal destiny. Simba begins life as an honored prince, the son of the powerful King Mufasa. The cub's happy childhood turns tragic when his evil uncle, Scar, murders Mufasa and drives Simba away from the kingdom. In exile, the young lion befriends the bumbling pair of Pumbaa the warthog and Timon the meerkat, who together live a carefree jungle life. As he approaches adulthood, however, he is visited by the spirit of his father, who instructs him to defeat the nefarious Scar and reclaim his rightful throne.",https://www.the-numbers.com/movie/Lion-King-The#tab=summary
Jurassic World: Fallen Kingdom,2018,417719760,890751228,1308470988,148024610,2.82,170000000,6.8,PG-13,128,Action,Live Action,Science Fiction,Universal Pictures,"It's been four years since theme park and luxury resort Jurassic World was destroyed by dinosaurs out of containment. Isla Nublar now sits abandoned by humans while the surviving dinosaurs fend for themselves in the jungles. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event. Owen is driven to find Blue, his lead raptor who's still missing in the wild, and Claire has grown a respect for these creatures she now makes her mission. Arriving on the unstable island as lava begins raining down, their expedition uncovers a conspiracy that could return our entire planet to a perilous order not seen since prehistoric times. ",https://www.the-numbers.com/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary
Toy Story 3,2010,415004880,653874642,1068879522,110307189,3.76,200000000,8.4,G,102,Adventure,Digital Animation,Kids Fiction,Walt Disney Pictures,"As Andy prepares to depart for college, his loyal toys find themselves in... day care! But the untamed tots with their sticky little fingers do not play nice, so it's all for one and one for all as plans for the great escape get underway. More than a few new faces -- some plastic, some plush -- join the adventure, including iconic swinging bachelor and Barbie's counterpart, Ken; a lederhosen-wearing thespian hedgehog named Mr. Pricklepants; and a pink, strawberry-scented teddy bear called Lots-o'- Huggin' Bear.",https://www.the-numbers.com/movie/Toy-Story-3#tab=summary
Wonder Woman,2017,412563408,408569970,821133378,103251471,4,150000000,9.3,PG-13,141,Action,Live Action,Super Hero,Warner Bros.,"Before she was Wonder Woman, she was Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, when an American pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat. Fighting alongside man in a war to end all wars, Diana will discover her full powers... and her true destiny.",https://www.the-numbers.com/movie/Wonder-Woman-(2017)#tab=summary
Iron Man 3,2013,408992272,806400000,1215392272,174144585,2.35,200000000,6.1,PG-13,130,Action,Animation/Live Action,Super Hero,Marvel Studios,"Marvel's ""Iron Man 3"" pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man? ",https://www.the-numbers.com/movie/Iron-Man-3#tab=summary
Captain America: Civil War,2016,408084349,745200000,1153284349,179139142,2.28,250000000,6,PG-13,146,Action,Live Action,Super Hero,Marvel Studios,"Steve Rogers is leading the newly formed team of Avengers in their continued efforts to safeguard humanity. But after another incident involving the Avengers results in collateral damage, political pressure mounts to install a system of accountability, headed by a governing body to oversee and direct the team. The new status quo fractures the Avengers, resulting in two camps—one led by Steve Rogers and his desire for the Avengers to remain free to defend humanity without government interference, and the other following Tony Stark's surprising decision to support government oversight and accountability.",https://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary
The Hunger Games,2012,408010692,269912687,677923379,152535747,2.67,80000000,9.1,PG-13,142,Thriller/Suspense,Live Action,Science Fiction,Lionsgate,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games. Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which 'Tributes' must fight with one another until one survivor remains. Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she's ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love.",https://www.the-numbers.com/movie/Hunger-Games-The#tab=summary
Jumanji: Welcome to the Jungle,2017,404508916,559987277,964496193,36169328,8.08,90000000,11.2,PG-13,119,Adventure,Live Action,Science Fiction,Columbia Pictures,"Four teenagers in detention are sucked into the world of Jumanji. When they discover an old video game console with a game they've never heard of, they are immediately thrust into the game's jungle setting, into the bodies of their avatars. What they discover is that you don't just play Jumanji—Jumanji plays you. They'll have to go on the most dangerous adventure of their lives, or they'll be stuck in the game forever...",https://www.the-numbers.com/movie/Jumanji-Welcome-to-the-Jungle#tab=summary
Spider-Man,2002,403706375,418000000,821706375,114844116,3.52,139000000,8.1,PG-13,121,Adventure,Live Action,Super Hero,Columbia Pictures,,https://www.the-numbers.com/movie/Spider-Man#tab=summary
Jurassic Park,1993,402523348,643104279,1045627627,50159460,8.02,63000000,17.9,PG-13,126,Action,Animation/Live Action,Science Fiction,Universal Pictures,,https://www.the-numbers.com/movie/Jurassic-Park#tab=summary
