name,year,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend,legs,production_budget,theater_counts,mpaa_rating,running_time,genre,production_method,creative_type,production_companies,synopsis,link
Meet the Fockers,2004,279167575,237400000,516567575,46120980,6.05,60000000,8.4,PG-13,114,Comedy,Live Action,Contemporary Fiction,Universal Pictures,,https://www.the-numbers.com/movie/Meet-the-Fockers#tab=summary
The Hangover,2009,277322503,188441583,465764086,44979319,6.17,35000000,10.1,R,100,Comedy,Live Action,Contemporary Fiction,Warner Bros.,,https://www.the-numbers.com/movie/Hangover-The#tab=summary
Gravity,2013,274092705,419605968,693698673,55785112,4.91,110000000,9.2,PG-13,91,Thriller/Suspense,Live Action,Contemporary Fiction,Warner Bros.,"Dr. Ryan Stone is a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalski in command. But on a seemingly routine mission, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalski completely alone—tethered to nothing but each other and spiraling out into the blackness. The deafening silence tells them they have lost any link to Earth... and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",https://www.the-numbers.com/movie/Gravity#tab=summary
Dr. Seuss' The Grinch,2018,270620950,241048559,511669509,67572855,4,75000000,7.6,PG,86,Adventure,Digital Animation,Kids Fiction,Universal Pictures,"Each year at Christmas they disrupt his tranquil solitude with their increasingly bigger, brighter and louder celebrations. When the Whos declare they are going to make Christmas three times bigger this year, the Grinch realizes there is only one way for him to gain some peace and quiet: he must steal Christmas. To do so, he decides he will pose as Santa Claus on Christmas Eve, even going so far as to trap a lackadaisical misfit reindeer to pull his sleigh. Meanwhile, down in Who-ville, Cindy-Lou Who-a young girl overflowing with holiday cheer-plots with her gang of friends to trap Santa Claus as he makes his Christmas Eve rounds so that she can thank him for help for her overworked single mother. As Christmas approaches, however, her good-natured scheme threatens to collide with the Grinch's more nefarious one. Will Cindy-Lou achieve her goal of finally meeting Santa Claus? Will the Grinch succeed in silencing the Whos' holiday cheer once and for all?",https://www.the-numbers.com/movie/Dr-Seuss-The-Grinch-(2018)#tab=summary
Sing,2016,270329045,364125744,634454789,35258145,6.3,75000000,7,PG,108,Adventure,Digital Animation,Kids Fiction,Illumination Entertainment,"Set in a world like ours but entirely inhabited by animals, Buster Moon, a dapper koala who presides over a once-grand theater that has fallen on hard times.  Buster is an eternal—some might even say delusional—optimist who loves his theater above all and will do anything to preserve it.  Now faced with the crumbling of his life's ambition, he has one final chance to restore his fading jewel to its former glory by producing the world's greatest singing competition. Five lead contestants emerge: Mike, a mouse who croons as smoothly as he cons; Meena, a timid teenage elephant with an enormous case of stage fright; Rosita, an overtaxed mother run ragged tending a litter of 25 piglets; Johnny, a young gangster gorilla looking to break free of his family's felonies; and Ash, a punk-rock porcupine struggling to shed her arrogant boyfriend and go solo. Each arrives under Buster's marquee believing that this is their shot to change the course of their life.  And as Buster coaches each of his contestants closer and closer to the grand finale, he starts to learn that maybe the theater isn't the only thing that is in need of saving.",https://www.the-numbers.com/movie/Sing-(2016)#tab=summary
Monsters University,2013,268488329,475100000,743588329,82429469,3.26,200000000,6.2,G,102,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,"Ever since college-bound Mike Wazowski was a little monster, he has dreamed of becoming a professional Scarer - and he knows better than anyone that the best Scarers come from Monsters University (MU). But during his first semester at MU, Mike's plans are derailed when he crosses pathswith hotshot MU legacy James P. Sullivan, ""Sulley"", a natural-born Scarer. The pair's out-of-control competitive spirit gets them both kicked out of the University's elite Scare Program. To make matters worse, they realize they will have to work together, along with an odd bunch of misfit monsters, if they ever hope to make things right. ",https://www.the-numbers.com/movie/Monsters-University#tab=summary
Shrek,2001,267655011,224157783,491812794,42347760,6.3,50000000,10.8,PG,90,Adventure,Digital Animation,Kids Fiction,DreamWorks Animation,,https://www.the-numbers.com/movie/Shrek#tab=summary
Despicable Me 3,2017,264624300,770100410,1034724710,72434025,3.65,75000000,7.8,PG,90,Adventure,Digital Animation,Kids Fiction,Universal Pictures,"Balthazar Bratt, a former child star who's grown up to become obsessed with the character he played in the xc3xa2xc2x80xc2x9880s, proves to be Gru's most formidable nemesis to date.  ",https://www.the-numbers.com/movie/Despicable-Me-3#tab=summary
Harry Potter and the Chamber of Secrets,2002,262233381,616991754,879225135,88357488,2.97,100000000,8.5,PG,161,Adventure,Animation/Live Action,Fantasy,Warner Bros.,,https://www.the-numbers.com/movie/Harry-Potter-and-the-Chamber-of-Secrets#tab=summary
The Amazing Spider-Man,2012,262030663,495859604,757890267,62004688,4.23,220000000,5.2,PG-13,136,Adventure,Live Action,Super Hero,Columbia Pictures,"The Amazing Spider-Man is the story of Peter Parker, an outcast high schooler who was abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. Peter is also finding his way with his first high school crush, Gwen Stacy, and together, they struggle with love, commitment, and secrets. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance xc3xa2xc2x80xc2x93 leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter-ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",https://www.the-numbers.com/movie/Amazing-Spider-Man-The#tab=summary
The Incredibles,2004,261441092,370000000,631441092,70467623,3.71,92000000,8.3,PG,115,Adventure,Digital Animation,Kids Fiction,Walt Disney Pictures,"Known to the world as superheroes Mr. Incredible and Elastigirl, Bob Parr and his wife Helen were among the world's greatest crime fighters, saving lives and battling evil on a daily basis. Fifteen years later, they have been forced to adopt civilian identities and retreat to the suburbs to live 'normal' lives with their three kids, Violet, Dash and Jack-Jack. Itching to get back into action, Bob gets his chance when a mysterious communication summons him to a remote island for a top secret assignment.",https://www.the-numbers.com/movie/Incredibles-The#tab=summary
How the Grinch Stole Christmas,2000,260044825,85096578,345141403,55820330,4.66,123000000,8.5,PG,105,Adventure,Live Action,Kids Fiction,Universal Pictures,,https://www.the-numbers.com/movie/How-the-Grinch-Stole-Christmas-(2000)#tab=summary
Jaws,1975,260000000,210700000,470700000,7790627,33.37,12000000,4.2,PG,124,Horror,Live Action,Contemporary Fiction,Universal Pictures,,https://www.the-numbers.com/movie/Jaws#tab=summary
Captain America: The Winter Soldier,2014,259746958,454654931,714401889,95023721,2.73,170000000,7,PG-13,135,Action,Live Action,Super Hero,Marvel Studios,"After the cataclysmic events in New York with the Avengers, Steve Rogers, aka Captain America, is living quietly in Washington D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with Natasha Romanoff, aka Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off assailants sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary
The Hobbit: The Desolation of Smaug,2013,258241522,702000000,960241522,73645197,3.51,250000000,6.4,PG-13,201,Adventure,Animation/Live Action,Fantasy,Wingnut Films,"Having survived the beginning of their unexpected journey, the Company, consisting of Bilbo Baggins, the Wizard Gandalf, and thirteen Dwarves, led by Thorin Oakenshield, continues East, encountering along the way the skin-changer Beorn and a swarm of giant Spiders in the treacherous forest of Mirkwood.  After escaping capture by the dangerous Wood-elves, the Dwarves journey to Lake-town, and finally to the Lonely Mountain itself, where they must face the greatest danger of all—a creature more terrifying than any other; one which will test not only the depth of their courage but the limits of their friendship and the wisdom of the journey itself—the Dragon Smaug.",https://www.the-numbers.com/movie/Hobbit-The-Desolation-of-Smaug-The#tab=summary
The Lego Movie,2014,257784718,210300000,468084718,69050279,3.73,60000000,8.4,PG,110,Adventure,Digital Animation,Kids Fiction,Vertigo Entertainment,"Emmet is an ordinary, rules-following, perfectly average LEGO mini-figure who is mistakenly identified as the most extraordinary person and the key to saving the world. He is drafted into a fellowship of strangers on an epic quest to stop an evil tyrant, a journey for which Emmet is hopelessly under-prepared.",https://www.the-numbers.com/movie/LEGO-Movie-The#tab=summary
Star Trek,2009,257730019,129109595,386839614,79204289,3.25,140000000,7.4,PG-13,125,Adventure,Live Action,Science Fiction,Bad Robot,,https://www.the-numbers.com/movie/Star-Trek#tab=summary
I am Legend,2007,256393010,329139674,585532684,77211321,3.32,150000000,6.8,PG-13,100,Horror,Live Action,Science Fiction,Village Roadshow Productions,,https://www.the-numbers.com/movie/I-am-Legend#tab=summary
The Blind Side,2009,255959475,49746319,305705794,34119372,6.38,35000000,11.6,PG-13,128,Drama,Live Action,Dramatization,Alcon Entertainment,,https://www.the-numbers.com/movie/Blind-Side-The#tab=summary
The Hobbit: The Battle of the Five Armies,2014,255119788,690457833,945577621,54724334,4.66,250000000,5.6,PG-13,144,Adventure,Animation/Live Action,Fantasy,New Line Cinema,"The Dwarves of Erebor have reclaimed the vast wealth of their homeland, but now must face the consequences of having unleashed the terrifying Dragon, Smaug, upon the defenseless men, women and children of Lake-town. As he succumbs to dragon-sickness, the King Under the Mountain, Thorin Oakenshield, sacrifices friendship and honor in his search for the legendary Arkenstone. Unable to help Thorin see reason, Bilbo is driven to make a desperate and dangerous choice, not knowing that even greater perils lie ahead. An ancient enemy has returned to Middle-earth. Sauron, the Dark Lord, has sent forth legions of Orcs in a stealth attack upon the Lonely Mountain. As darkness converges on their escalating conflict, the races of Dwarves, Elves and Men must decide—unite or be destroyed. Bilbo finds himself fighting for his life and the lives of his friends as five great armies go to war.",https://www.the-numbers.com/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary
The Hangover Part II,2011,254464305,332000000,586464305,85946294,2.96,80000000,5.9,R,102,Comedy,Live Action,Contemporary Fiction,Warner Bros.,"Phil, Stu, Alan and Doug travel to exotic Thailand for Stu's wedding. With the memory of Doug's nearly disastrous bachelor party in Las Vegas still fresh - or at least well-documented - Stu is taking no chances. He has opted for a safe, subdued, pre-wedding trip brunch, with pancakes, coffee... and no alcohol. However, things don't always go as planned. Two nights before the big day, at a fabulous resort in Thailand, Stu relents. One beer each. In sealed bottles. What could go wrong? What happens in Vegas may stay in Vegas, but what happens in Bangkok can't even be imagined.",https://www.the-numbers.com/movie/Hangover-Part-II-The#tab=summary
Despicable Me,2010,251513985,291950588,543464573,56397125,4.46,69000000,9.3,PG,95,Adventure,Digital Animation,Kids Fiction,Universal Pictures,"In a happy suburban neighborhood surrounded by white picket fences with flowering rose bushes, sits a black house with a dead lawn. Unbeknownst to the neighbors, hidden deep beneath this home is a vast secret hideout. Surrounded by an army of tireless, little yellow minions, we discover Gru planning the biggest heist in the history of the world. He is going to steal the moon (Yes, the moon!). Gru delights in all things wicked. Armed with his arsenal of shrink rays, freeze rays and battle-ready vehicles for land and air, he vanquishes all who stand in his way. Until the day he encounters the immense will of three little orphaned girls who look at him and see something that no one else has ever seen: a potential Dad. One of the world's greatest super-villains has just met his greatest challenge: three little girls named Margo, Edith and Agnes.",https://www.the-numbers.com/movie/Despicable-Me#tab=summary
Batman,1989,251188924,160160000,411348924,40489746,6.2,35000000,13.3,PG-13,121,Action,Live Action,Super Hero,Guber-Peters,,https://www.the-numbers.com/movie/Batman#tab=summary
Night at the Museum,2006,250863268,328583139,579446407,30433781,6.82,110000000,9.5,PG,108,Adventure,Live Action,Kids Fiction,20th Century Fox,,https://www.the-numbers.com/movie/Night-at-the-Museum#tab=summary
Men in Black,1997,250690539,337100000,587790539,51068455,4.91,90000000,11.4,PG-13,98,Adventure,Live Action,Science Fiction,,"A streetwise NYPD detective joins a secret organization that polices extraterrestrial affairs on Earth. Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",https://www.the-numbers.com/movie/Men-in-Black#tab=summary
Harry Potter and the Prisoner of Azkaban,2004,249757726,545858611,795616337,93687367,2.67,130000000,6.7,PG,141,Adventure,Animation/Live Action,Fantasy,Warner Bros.,,https://www.the-numbers.com/movie/Harry-Potter-and-the-Prisoner-of-Azkaban#tab=summary
Moana,2016,248757044,388170023,636927067,56631401,4.39,150000000,8.2,PG,113,Musical,Digital Animation,Kids Fiction,Walt Disney Animation Studios,"For centuries, the greatest sailors in the world masterfully navigated the vast Pacific, discovering the many islands of Oceania. But then, 3,000 years ago, their voyages stopped for a millennium — and no one knows exactly why.  An adventurous teenager is inspired to leave the safety and security of her island on a daring journey to save her people. Inexplicably drawn to the ocean, Moana convinces the mighty demigod Maui to join her mission, and he reluctantly helps her become a wayfinder like her ancestors who sailed before her. Together, they voyage across the open ocean on an action-packed adventure, encountering enormous monsters and impossible odds, and along the way, Moana fulfills her quest and discovers the one thing she's always sought: her own identity. ",https://www.the-numbers.com/movie/Moana-(2016)#tab=summary
Toy Story 2,1999,245852179,265506097,511358276,300163,4.28,90000000,11.5,G,92,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,,https://www.the-numbers.com/movie/Toy-Story-2#tab=summary
Transformers: Age of Extinction,2014,245439076,858614996,1104054072,100038390,2.45,210000000,5.2,PG-13,165,Action,Animation/Live Action,Science Fiction,di Bonaventura Pictures,"An epic battle left a great city torn, but with the world saved. As humanity picks up the pieces, a shadowy group reveals itself in an attempt to control the direction of history... while an ancient, powerful new menace sets Earth in its crosshairs. With help from a new cast of humans, Optimus Prime and the Autobots rise to meet their most fearsome challenge yet as they are swept up in a war of good and evil, ultimately leading to a climactic battle across the world. ",https://www.the-numbers.com/movie/Transformers-Age-of-Extinction#tab=summary
Cars,2006,244082982,217568264,461651246,60119509,4.06,70000000,7.7,G,116,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. En route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueengets to know the town's offbeat characters - including Doc Hudson, Sally Carrera, and Mater - who help him realize that there are more important things than trophies, fame, and sponsorship.",https://www.the-numbers.com/movie/Cars#tab=summary
Bruce Almighty,2003,242704995,241763613,484468608,67953330,3.57,81000000,7.8,PG-13,102,Comedy,Live Action,Contemporary Fiction,Spyglass Entertainment,,https://www.the-numbers.com/movie/Bruce-Almighty#tab=summary
Ghostbusters,1984,242212467,53000000,295212467,13612564,15.84,30000000,23.6,PG,107,Comedy,Live Action,Contemporary Fiction,Columbia Pictures,,https://www.the-numbers.com/movie/Ghostbusters-(1984)#tab=summary
Twister,1996,241688385,254011615,495700000,41059405,5.89,88000000,11.5,PG-13,114,Action,Live Action,Contemporary Fiction,Warner Bros.,,https://www.the-numbers.com/movie/Twister#tab=summary
My Big Fat Greek Wedding,2002,241438208,133451826,374890034,597362,21.75,5000000,23.3,PG,95,Romantic,Live Action,Contemporary Fiction,Gold Circle Films,"A young Greek-American woman, Toula Portokalos, falls in love and plans to marry outside of Greek tradition. As her loving, yet overbearing, family struggles to accept her non-Greek fiancé, Ian Miller, she gradually comes to terms with her heritage and cultural identity.",https://www.the-numbers.com/movie/My-Big-Fat-Greek-Wedding#tab=summary
Maleficent,2014,241407328,517129407,758536735,69431298,3.48,180000000,7.4,PG,97,Adventure,Live Action,Fantasy,Roth Films,"Driven by revenge and a fierce desire to protect the moors over which she presides, Maleficent cruelly places an irrevocable curse upon the human king's newborn infant Aurora. As the child grows, Aurora is caught in the middle of the seething conflict between the forest kingdom she has grown to love and the human kingdom that holds her legacy. Maleficent realizes that Aurora may hold the key to peace in the land and is forced to take drastic actions that will change both worlds forever.",https://www.the-numbers.com/movie/Maleficent#tab=summary
Pirates of the Caribbean: On Stranger Tides,2011,241063875,804600000,1045663875,90151958,2.67,379000000,6,PG-13,136,Adventure,Live Action,Fantasy,Walt Disney Pictures,"When Captain Jack Sparrow crosses paths with the enigmatic Angelica, he's not sure if it's love - or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the ""Queen Anne's Revenge,"" the ship of the legendary pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know whom to fear more: Blackbeard or Angelica, with whom he shares a mysterious past.  ",https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary
Shrek Forever After,2010,238736787,517507886,756244673,70838207,3.37,165000000,5.9,PG,93,Adventure,Digital Animation,Kids Fiction,DreamWorks Animation,,https://www.the-numbers.com/movie/Shrek-Forever-After#tab=summary
Fast and Furious 6,2013,238679850,550620594,789300444,97375245,2.45,160000000,5.5,PG-13,130,Action,Live Action,Contemporary Fiction,Universal Pictures,,https://www.the-numbers.com/movie/Fast-and-Furious-6#tab=summary
Brave,2012,237282182,317324350,554606532,66323594,3.58,185000000,7.3,PG,93,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,"A rugged and mythic Scotland is the setting for this action-adventure. The impetuous, tangle-haired Merida, though a daughter of royalty, would prefer to make her mark as a great archer. A clash of wills with her mother compels Merida to make a reckless choice, which unleashes unintended peril on her father's kingdom and her mother's life. Merida struggles with the unpredictable forces of nature, magic and a dark, ancient curse to set things right.",https://www.the-numbers.com/movie/Brave#tab=summary
Oz the Great and Powerful,2013,234770996,255588055,490359051,79110453,2.97,200000000,7.1,PG,130,Adventure,Animation/Live Action,Fantasy,Walt Disney Pictures,"Oscar Diggs, a small-time circus magician with dubious ethics, is hurled away from dusty Kansas to the vibrant Land of Oz. There, Oscar thinks he's hit the jackpot—fame and fortune are his for the taking—that is until he meets three witches, Theodora, Evanora and Glinda, who are not convinced he is the great wizard everyone's been expecting. Reluctantly drawn into the epic problems facing the Land of Oz and its inhabitants, Oscar must find out who is good and who is evil before it is too late. Putting his magical arts to use, along with some ingenuity—and even a bit of wizardry—Oscar transforms himself not only into the great wizard but into a better man as well.",https://www.the-numbers.com/movie/Oz-The-Great-and-Powerful#tab=summary
Beverly Hills Cop,1984,234760478,81539522,316300000,15214805,11.7,15000000,20.3,R,105,Comedy,Live Action,Contemporary Fiction,Don Simpson,,https://www.the-numbers.com/movie/Beverly-Hills-Cop#tab=summary
X-Men: The Last Stand,2006,234362462,224898484,459260946,102750665,2.28,210000000,5.6,PG-13,104,Action,Live Action,Super Hero,20th Century Fox,,https://www.the-numbers.com/movie/X-Men-The-Last-Stand#tab=summary
War of the Worlds,2005,234280354,372556181,606836535,64878725,3.61,132000000,6.1,PG-13,116,Action,Animation/Live Action,Science Fiction,Paramount Pictures,"Located somewhere in the New England United States, the family — like millions of others around the globe — is forced to take refuge from the aliens' highly advanced weapons and impenetrable shields, which are unstoppable against anything that mankind can throw at them. Unable to fight back and finding it more and more difficult to remain hidden from the aliens, the human race faces the end of its existence. ",https://www.the-numbers.com/movie/War-of-the-Worlds#tab=summary
Fantastic Beasts and Where to Find Them,2016,234037575,580000000,814037575,74403387,3.15,180000000,6.4,PG-13,133,Adventure,Animation/Live Action,Fantasy,Warner Bros.,"Story takes place in the Harry Potter world, set 70 years prior to the Harry Potter books.",https://www.the-numbers.com/movie/Fantastic-Beasts-and-Where-to-Find-Them#tab=summary
X-Men: Days of Future Past,2014,233921534,513941241,747862775,90823660,2.58,200000000,6,PG-13,131,Action,Live Action,Super Hero,Bad Hat Harry Productions,"The X-Men ensemble fights a war for the survival of the species across two time periods. The characters from the original 'X-Men' film trilogy join forces with their younger selves from the past, in order to change a major historical event and fight in an epic battle that could save our future.",https://www.the-numbers.com/movie/X-Men-Days-of-Future-Past#tab=summary
Cast Away,2000,233632142,193598374,427230516,28883406,7.54,85000000,11.5,PG-13,143,Drama,Live Action,Contemporary Fiction,DreamWorks Pictures,,https://www.the-numbers.com/movie/Cast-Away#tab=summary
Doctor Strange,2016,232641920,443762646,676404566,85058311,2.74,165000000,6.3,PG-13,115,Action,Animation/Live Action,Super Hero,Marvel Studios,"The story of world-famous neurosurgeon Dr. Stephen Strange whose life changes forever after a horrific car accident robs him of the use of his hands. When traditional medicine fails him, he is forced to look for healing—and hope—in an unlikely place: a mysterious enclave known as Kamar-Taj. He quickly learns that this is not just a center for healing but also the front line of a battle against unseen dark forces bent on destroying our reality. Before long Strange—armed with newly acquired magical powers—is forced to choose whether to return to his life of fortune and status or leave it all behind to defend the world as the most powerful sorcerer in existence. ",https://www.the-numbers.com/movie/Doctor-Strange-(2016)#tab=summary
The Exorcist,1973,230347346,197867132,428214478,,6.36,12000000,,R,121,Horror,Live Action,Fantasy,,,https://www.the-numbers.com/movie/Exorcist-The#tab=summary
The Lost World: Jurassic Park,1997,229086679,389552320,618638999,72132785,3.18,75000000,7.9,PG-13,134,Action,Animation/Live Action,Science Fiction,Amblin Entertainment,,https://www.the-numbers.com/movie/Lost-World-Jurassic-Park#tab=summary
Justice League,2017,229024295,426920914,655945209,93842239,2.44,300000000,5.5,PG-13,121,Action,Live Action,Super Hero,DC Films,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy.  Together, Batman and Wonder Woman work quickly to find and recruit a team of meta-humans to stand against this newly awakened threat.  But despite the formation of this unprecedented league of heroes—Batman, Wonder Woman, Aquaman, Cyborg and The Flash—it may already be too late to save the planet from an assault of catastrophic proportions.",https://www.the-numbers.com/movie/Justice-League-(2017)#tab=summary
Star Trek Into Darkness,2013,228778661,238602923,467381584,70165559,3.26,190000000,5.8,PG-13,132,Adventure,Live Action,Science Fiction,Bad Robot,"In the wake of a shocking act of terror from within their own organization, the crew of The Enterprise is called back home to Earth. In defiance of regulations and with a personal score to settle, Captain Kirkxc3x82xc2xa0leads his crew on a manhunt toxc3x82xc2xa0capture an unstoppable force of destruction and bring those responsible to justice.As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew",https://www.the-numbers.com/movie/Star-Trek-Into-Darkness#tab=summary
The Martian,2015,228433663,426837780,655271443,54308575,4.21,108000000,8.3,PG-13,130,Thriller/Suspense,Live Action,Science Fiction,Scott Free Films,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Millions of miles away, NASA and a team of international scientists work tirelessly to bring 'the Martian' home, while his crewmates concurrently plot a daring, if not impossible, rescue mission. As these stories of incredible bravery unfold, the world comes together to root for Watney's safe return.",https://www.the-numbers.com/movie/Martian-The#tab=summary
Signs,2002,227969295,180300000,408269295,60116619,3.79,70702619,9.5,PG-13,106,Thriller/Suspense,Live Action,Science Fiction,Touchstone Pictures,,https://www.the-numbers.com/movie/Signs#tab=summary
Hancock,2008,227946274,396287998,624234272,62603879,3.64,150000000,5.8,PG-13,92,Action,Live Action,Super Hero,Columbia Pictures,,https://www.the-numbers.com/movie/Hancock#tab=summary
The Bourne Ultimatum,2007,227471070,216572326,444043396,69283690,3.28,130000000,8.2,PG-13,113,Thriller/Suspense,Live Action,Contemporary Fiction,,,https://www.the-numbers.com/movie/Bourne-Ultimatum-The#tab=summary
Logan,2017,226277068,389184326,615461394,88411916,2.56,127000000,5.7,R,135,Action,Live Action,Super Hero,Marvel Studios,"In the near future, a weary Logan cares for an ailing Professor X in a hide out on the Mexican border. But Logan's attempts to hide from the world and his legacy are up-ended when a young mutant arrives, being pursued by dark forces. ",https://www.the-numbers.com/movie/Logan-(2017)#tab=summary
Rush Hour 2,2001,226164286,121261546,347425832,67408222,3.36,90000000,9.5,PG-13,90,Action,Live Action,Contemporary Fiction,,,https://www.the-numbers.com/movie/Rush-Hour-2#tab=summary
The Fate of the Furious,2017,225764765,1013000000,1238764765,98786705,2.29,250000000,5.7,PG-13,136,Action,Live Action,Contemporary Fiction,Universal Pictures,"Now that Dom and Letty are on their honeymoon and Brian and Mia have retired from the game—and the rest of the crew has been exonerated—the globetrotting team has found a semblance of a normal life. But when a mysterious woman seduces Dom into the world of crime he can't seem to escape and a betrayal of those closest to him, they will face trials that will test them as never before. From the shores of Cuba and the streets of New York City to the icy plains of the arctic Barents Sea, our elite force will crisscross the globe to stop an anarchist from unleashing chaos on the worlds stage...and to bring home the man who made them a family",https://www.the-numbers.com/movie/Fate-of-the-Furious-The#tab=summary
Raiders of the Lost Ark,1981,225686079,141766000,367452079,8305823,27.17,20000000,28.4,PG,115,Adventure,Live Action,Historical Fiction,Lucasfilm,,https://www.the-numbers.com/movie/Raiders-of-the-Lost-Ark#tab=summary
WALL-E,2008,223808164,308699861,532508025,63087526,3.55,180000000,7.8,G,100,Adventure,Digital Animation,Science Fiction,Disney-Pixar,,https://www.the-numbers.com/movie/WALL-E#tab=summary
Big Hero 6,2014,222527828,429600000,652127828,56215889,3.96,165000000,8.7,PG,108,Adventure,Digital Animation,Super Hero,Walt Disney Animation Studios,"Robotics prodigy Hiro Hamada learns to harness his genius—thanks to his brilliant brother Tadashi and their like-minded friends: adrenaline junkie Go Go Tamago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. When a devastating turn of events catapults them into the midst of a dangerous plot unfolding in the streets of San Fransokyo, Hiro turns to his closest companion—a robot named Baymax—and transforms the group into a band of high-tech heroes determined to solve the mystery.",https://www.the-numbers.com/movie/Big-Hero-6#tab=summary
Mission: ImpossibleâFallout,2018,220159104,567297448,787456552,61236534,3.6,178000000,6.4,PG-13,147,Action,Live Action,Contemporary Fiction,Skydance Productions,"Ethan Hunt and his IMF team, along with some familiar allies are in a race against time after a mission gone wrong.",https://www.the-numbers.com/movie/Mission-Impossible-Fallout#tab=summary
National Treasure: Book of Secrets,2007,219961501,237364303,457325804,44783772,4.91,,7.1,PG,124,Adventure,Live Action,Contemporary Fiction,Walt Disney Pictures,,https://www.the-numbers.com/movie/National-Treasure-Book-of-Secrets#tab=summary
Alvin and the Chipmunks: The Squeakquel,2009,219614612,223868601,443483213,48875415,4.49,70000000,7.2,PG,89,Adventure,Animation/Live Action,Kids Fiction,Fox 2000 Pictures,,https://www.the-numbers.com/movie/Alvin-and-the-Chipmunks-The-Squeakquel#tab=summary
Mrs. Doubtfire,1993,219195051,222090952,441286003,20468847,10.71,25000000,16.7,PG-13,125,Comedy,Live Action,Contemporary Fiction,Blue Wolf,,https://www.the-numbers.com/movie/Mrs-Doubtfire#tab=summary
Ted,2012,218665740,337350887,556016627,54415205,4.02,50000000,7.6,R,106,Comedy,Animation/Live Action,Contemporary Fiction,Universal Pictures,"TED tells the story of John Bennett, a grown man who must deal with the cherished teddy bear who came to life as the result of a childhood wish...and has refused to leave his side ever since",https://www.the-numbers.com/movie/Ted#tab=summary
King Kong,2005,218080025,332437332,550517357,50130145,4.35,207000000,6.5,PG-13,189,Adventure,Animation/Live Action,Fantasy,Wingnut Films,,https://www.the-numbers.com/movie/King-Kong-(2005)#tab=summary
Ghost,1990,217631306,299968694,517600000,12191373,17.38,22000000,21.9,PG-13,127,Drama,Live Action,Contemporary Fiction,,,https://www.the-numbers.com/movie/Ghost#tab=summary
How to Train Your Dragon,2010,217581232,277289760,494870992,43732319,4.98,165000000,8.2,PG,91,Adventure,Digital Animation,Fantasy,DreamWorks Animation,,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon#tab=summary
The Da Vinci Code,2006,217536138,550284321,767820459,77073388,2.82,125000000,6.2,PG-13,152,Thriller/Suspense,Live Action,Contemporary Fiction,Columbia Pictures,,https://www.the-numbers.com/movie/Da-Vinci-Code-The#tab=summary
