title,link
Suicide Squad,https://www.the-numbers.com/movie/Suicide-Squad#tab=summary
Deadpool 2,https://www.the-numbers.com/movie/Deadpool-2#tab=summary
Shrek the Third,https://www.the-numbers.com/movie/Shrek-the-Third#tab=summary
Transformers,https://www.the-numbers.com/movie/Transformers#tab=summary
Iron Man,https://www.the-numbers.com/movie/Iron-Man#tab=summary
Harry Potter and the Sorcererâs Stone,https://www.the-numbers.com/movie/Harry-Potter-and-the-Sorcerers-Stone#tab=summary
Indiana Jones and the Kingdom of the Crystal Skull,https://www.the-numbers.com/movie/Indiana-Jones-and-the-Kingdom-of-the-Crystal-Skull#tab=summary
Jumanji: The Next Level,https://www.the-numbers.com/movie/Jumanji-The-Next-Level#tab=summary
The Lord of the Rings: The Fellowship of the Ring,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Fellowship-of-the-Ring-The#tab=summary
Thor: Ragnarok,https://www.the-numbers.com/movie/Thor-Ragnarok#tab=summary
Iron Man 2,https://www.the-numbers.com/movie/Iron-Man-2#tab=summary
Star Wars Ep. II: Attack of the Clones,https://www.the-numbers.com/movie/Star-Wars-Ep-II-Attack-of-the-Clones#tab=summary
Pirates of the Caribbean: At Worldâs End,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary
Star Wars Ep. VI: Return of the Jedi,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi#tab=summary
Independence Day,https://www.the-numbers.com/movie/Independence-Day#tab=summary
Pirates of the Caribbean: The Curse of the Blac…,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl#tab=summary
Skyfall,https://www.the-numbers.com/movie/Skyfall#tab=summary
The Hobbit: An Unexpected Journey,https://www.the-numbers.com/movie/Hobbit-An-Unexpected-Journey-The#tab=summary
Harry Potter and the Half-Blood Prince,https://www.the-numbers.com/movie/Harry-Potter-and-the-Half-Blood-Prince#tab=summary
The Twilight Saga: Eclipse,https://www.the-numbers.com/movie/Twilight-Saga-Eclipse-The#tab=summary
The Twilight Saga: New Moon,https://www.the-numbers.com/movie/Twilight-Saga-New-Moon-The#tab=summary
Harry Potter and the Deathly Hallows: Part I,https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I#tab=summary
The Sixth Sense,https://www.the-numbers.com/movie/Sixth-Sense-The#tab=summary
Up,https://www.the-numbers.com/movie/Up#tab=summary
Inception,https://www.the-numbers.com/movie/Inception#tab=summary
"The Twilight Saga: Breaking Dawn, Part 2",https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary
Harry Potter and the Order of the Phoenix,https://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary
"The Chronicles of Narnia: The Lion, the Witch a…",https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary
Man of Steel,https://www.the-numbers.com/movie/Man-of-Steel#tab=summary
Star Wars Ep. V: The Empire Strikes Back,https://www.the-numbers.com/movie/Star-Wars-Ep-V-The-Empire-Strikes-Back#tab=summary
Harry Potter and the Goblet of Fire,https://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary
"Monsters, Inc.",https://www.the-numbers.com/movie/Monsters-Inc#tab=summary
Home Alone,https://www.the-numbers.com/movie/Home-Alone#tab=summary
The Hunger Games: Mockingjay - Part 2,https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary
The Matrix Reloaded,https://www.the-numbers.com/movie/Matrix-Reloaded-The#tab=summary
"The Twilight Saga: Breaking Dawn, Part 1",https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-1-The#tab=summary
Meet the Fockers,https://www.the-numbers.com/movie/Meet-the-Fockers#tab=summary
The Hangover,https://www.the-numbers.com/movie/Hangover-The#tab=summary
Gravity,https://www.the-numbers.com/movie/Gravity#tab=summary
Dr. Seussâ The Grinch,https://www.the-numbers.com/movie/Dr-Seuss-The-Grinch-(2018)#tab=summary
Sing,https://www.the-numbers.com/movie/Sing-(2016)#tab=summary
