name,year,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend,legs,production_budget,theater_counts,mpaa_rating,running_time,genre,production_method,creative_type,production_companies,synopsis,link,tconst
Jurassic Park,1993,402523348,643104279,1045627627,50159460,8.02,63000000,17.9,PG-13,126,Action,Animation/Live Action,Science Fiction,Universal Pictures,,https://www.the-numbers.com/movie/Jurassic-Park#tab=summary,tt0107290
Transformers: Revenge of the Fallen,2009,402111870,434407829,836519699,108966307,3.69,210000000,6.7,PG-13,149,Action,Animation/Live Action,Science Fiction,DreamWorks Pictures,,https://www.the-numbers.com/movie/Transformers-Revenge-of-the-Fallen#tab=summary,tt1055369
Frozen,2013,400738009,868008165,1268746174,243390,5.95,150000000,12.8,PG,102,Musical,Digital Animation,Kids Fiction,Walt Disney Animation Studios,"Fearless optimist Anna sets off on an epic journeyxc3xa2xc2x80xc2x94teaming up with rugged mountain man Kristoff and his loyal reindeer Svenxc3xa2xc2x80xc2x94to find her sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter. Encountering Everest-like conditions, mystical trolls and a hilarious snowman named Olaf, Anna and Kristoff battle the elements in a race to save the kingdom. ",https://www.the-numbers.com/movie/Frozen-(2013)#tab=summary,tt2294629
Spider-Man: Far From Home,2019,390532085,738459543,1128991628,92579212,4.22,160000000,7.1,PG-13,129,Action,Live Action,Super Hero,Columbia Pictures,"Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever.",https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)#tab=summary,tt6320628
Guardians of the Galaxy Vol 2,2017,389813101,479300000,869113101,146510104,2.66,200000000,7,PG-13,136,Action,Animation/Live Action,Super Hero,Marvel Studios,The teamxc3xa2xc2x80xc2x99s adventures continue as they traverse the outer reaches of the cosmos. The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quillxc3xa2xc2x80xc2x99s true parentage. ,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary,tt3896198
Harry Potter and the Deathly Hallows: Part II,2011,381193157,960500000,1341693157,169189427,2.25,125000000,6,PG-13,131,Adventure,Animation/Live Action,Fantasy,Warner Bros.,The battle between the good and evil forces of the wizarding world escalates into an all-out war. The stakes have never been higher and no one is safe. But it is Harry Potter who may be called upon to make the ultimate sacrifice as he draws closer to the climactic showdown with Lord Voldemort. It all ends here.,https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II#tab=summary,tt1201607
Finding Nemo,2003,380529370,555900000,936429370,70251710,5.42,94000000,14.6,G,100,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,"The momentous journey of an overprotective clownfish named Marlin and his young son Nemoxc3xa2xc2x80xc2x94who become separated when Nemo is unexpectedly taken far from his ocean home in the Great Barrier Reef to a fish tank in a dentistxc3xa2xc2x80xc2x99s office. Buoyed by the companionshipof Dory, a friendly-but-forgetful blue tang, Marlin embarks on a dangerous trek and finds himself the unlikely hero of an epic journey to rescue his sonxc3xa2xc2x80xc2x94who hatches a few daring plans of his own to return safely home.",https://www.the-numbers.com/movie/Finding-Nemo#tab=summary,tt0266543
Star Wars Ep. III: Revenge of the Sith,2005,380270577,468728300,848998877,108435841,3.51,115000000,7.3,PG-13,139,Adventure,Animation/Live Action,Science Fiction,Lucasfilm,"Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice -- Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring -- the twin children born in secrecy who will grow up to become heroes. ",https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary,tt0121766
The Lord of the Rings: The Return of the King,2003,377845905,742578709,1120424614,72629713,5.2,94000000,9.6,PG-13,201,Adventure,Animation/Live Action,Fantasy,Wingnut Films,,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Return-of-the-King-The#tab=summary,tt0167260
Spider-Man 2,2004,373524485,421173072,794697557,88156227,4.24,200000000,7.1,PG-13,127,Adventure,Live Action,Super Hero,Columbia Pictures,,https://www.the-numbers.com/movie/Spider-Man-2#tab=summary,tt0316654
