name,link
Star Wars Ep. VI: Return of the Jedi,https://www.the-numbers.com/movie/Star-Wars-Ep-VI-Return-of-the-Jedi#tab=summary
Flashdance,https://www.the-numbers.com/movie/Flashdance#tab=summary
Octopussy,https://www.the-numbers.com/movie/Octopussy#tab=summary
Never Say Never Again,https://www.the-numbers.com/movie/Never-Say-Never-Again#tab=summary
Staying Alive,https://www.the-numbers.com/movie/Staying-Alive#tab=summary
Terms of Endearment,https://www.the-numbers.com/movie/Terms-of-Endearment#tab=summary
Trading Places,https://www.the-numbers.com/movie/Trading-Places#tab=summary
Superman III,https://www.the-numbers.com/movie/Superman-III#tab=summary
WarGames,https://www.the-numbers.com/movie/WarGames#tab=summary
Sudden Impact,https://www.the-numbers.com/movie/Sudden-Impact#tab=summary
Mr. Mom,https://www.the-numbers.com/movie/Mr-Mom#tab=summary
Risky Business,https://www.the-numbers.com/movie/Risky-Business#tab=summary
National Lampoonâs Vacation,https://www.the-numbers.com/movie/National-Lampoons-Vacation#tab=summary
The Big Chill,https://www.the-numbers.com/movie/Big-Chill-The#tab=summary
Scarface,https://www.the-numbers.com/movie/Scarface#tab=summary
Blue Thunder,https://www.the-numbers.com/movie/Blue-Thunder#tab=summary
Jaws 3-D,https://www.the-numbers.com/movie/Jaws-3-D#tab=summary
Yentl,https://www.the-numbers.com/movie/Yentl#tab=summary
Silkwood,https://www.the-numbers.com/movie/Silkwood#tab=summary
Porky's II: The Next Day,https://www.the-numbers.com/movie/Porkys-II-The-Next-Day#tab=summary
Psycho II,https://www.the-numbers.com/movie/Psycho-II#tab=summary
Twilight Zone: The Movie,https://www.the-numbers.com/movie/Twilight-Zone-The-Movie#tab=summary
The Evil Dead,https://www.the-numbers.com/movie/Evil-Dead-The#tab=summary
Easy Money,https://www.the-numbers.com/movie/Easy-Money#tab=summary
High Road to China,https://www.the-numbers.com/movie/High-Road-to-China#tab=summary
Uncommon Valor,https://www.the-numbers.com/movie/Uncommon-Valor#tab=summary
Never Cry Wolf,https://www.the-numbers.com/movie/Never-Cry-Wolf#tab=summary
The Outsiders,https://www.the-numbers.com/movie/Outsiders-The#tab=summary
Spring Break,https://www.the-numbers.com/movie/Spring-Break#tab=summary
Two of a Kind,https://www.the-numbers.com/movie/Two-of-a-Kind#tab=summary
My Tutor,https://www.the-numbers.com/movie/My-Tutor#tab=summary
Class,https://www.the-numbers.com/movie/Class#tab=summary
The Right Stuff,https://www.the-numbers.com/movie/Right-Stuff-The#tab=summary
Christine,https://www.the-numbers.com/movie/Christine#tab=summary
Cujo,https://www.the-numbers.com/movie/Cujo#tab=summary
The Dead Zone,https://www.the-numbers.com/movie/Dead-Zone-The#tab=summary
A Christmas Story,https://www.the-numbers.com/movie/Christmas-Story-A#tab=summary
Breathless,https://www.the-numbers.com/movie/Breathless-(1983)#tab=summary
Max Dugan Returns,https://www.the-numbers.com/movie/Max-Dugan-Returns#tab=summary
All the Right Moves,https://www.the-numbers.com/movie/All-the-Right-Moves#tab=summary
Valley Girl,https://www.the-numbers.com/movie/Valley-Girl#tab=summary
Krull,https://www.the-numbers.com/movie/Krull#tab=summary
Spacehunter: Adventures in the Forbidden Zone,https://www.the-numbers.com/movie/Spacehunter-Adventures-in-the-Forbidden-Zone#tab=summary
Richard Pryor Here and Now,https://www.the-numbers.com/movie/Richard-Pryor-Here-and-Now#tab=summary
D.C. Cab,https://www.the-numbers.com/movie/D-C-Cab#tab=summary
Gorky Park,https://www.the-numbers.com/movie/Gorky-Park#tab=summary
Still Smokin,https://www.the-numbers.com/movie/Still-Smokin#tab=summary
Monty Python's The Meaning of Life,https://www.the-numbers.com/movie/Monty-Pythons-The-Meaning-of-Life#tab=summary
Educating Rita,https://www.the-numbers.com/movie/Educating-Rita#tab=summary
Private School,https://www.the-numbers.com/movie/Private-School#tab=summary
The Survivors,https://www.the-numbers.com/movie/Survivors-The#tab=summary
The Entity,https://www.the-numbers.com/movie/Entity-The#tab=summary
To Be or Not to Be,https://www.the-numbers.com/movie/To-Be-or-Not-to-Be#tab=summary
Stroker Ace,https://www.the-numbers.com/movie/Stroker-Ace#tab=summary
Lone Wolf McQuade,https://www.the-numbers.com/movie/Lone-Wolf-McQuade#tab=summary
Zelig,https://www.the-numbers.com/movie/Zelig#tab=summary
The Lords of Discipline,https://www.the-numbers.com/movie/Lords-of-Discipline-The#tab=summary
The Smurfs and the Magic Flute,https://www.the-numbers.com/movie/Smurfs-and-the-Magic-Flute-The#tab=summary
The Man Who Loved Women,https://www.the-numbers.com/movie/Man-Who-Loved-Women-The#tab=summary
Deal of the Century,https://www.the-numbers.com/movie/Deal-of-the-Century#tab=summary
Doctor Detroit,https://www.the-numbers.com/movie/Doctor-Detroit#tab=summary
The Man with Two Brains,https://www.the-numbers.com/movie/Man-with-Two-Brains-The#tab=summary
Revenge of the Ninja,https://www.the-numbers.com/movie/Revenge-of-the-Ninja#tab=summary
The Year of Living Dangerously,https://www.the-numbers.com/movie/Year-of-Living-Dangerously-The#tab=summary
Lovesick,https://www.the-numbers.com/movie/Lovesick#tab=summary
