link,name
https://www.the-numbers.com/movie/Die-Hard-With-a-Vengeance#tab=summary,Die Hard: With a Vengeance
https://www.the-numbers.com/movie/Toy-Story#tab=summary,Toy Story
https://www.the-numbers.com/movie/Goldeneye#tab=summary,Goldeneye
https://www.the-numbers.com/movie/Pocahontas#tab=summary,Pocahontas
https://www.the-numbers.com/movie/Batman-Forever-(1995)#tab=summary,Batman Forever
https://www.the-numbers.com/movie/Apollo-13#tab=summary,Apollo 13
https://www.the-numbers.com/movie/Se7en#tab=summary,Se7en
https://www.the-numbers.com/movie/Casper#tab=summary,Casper
https://www.the-numbers.com/movie/Waterworld#tab=summary,Waterworld
https://www.the-numbers.com/movie/Jumanji#tab=summary,Jumanji
https://www.the-numbers.com/movie/Babe-(1995)#tab=summary,Babe
https://www.the-numbers.com/movie/Ace-Ventura-When-Nature-Calls#tab=summary,Ace Ventura: When Nature Calls
https://www.the-numbers.com/movie/Braveheart#tab=summary,Braveheart
https://www.the-numbers.com/movie/Outbreak#tab=summary,Outbreak
https://www.the-numbers.com/movie/Heat-(1995)#tab=summary,Heat
https://www.the-numbers.com/movie/While-You-Were-Sleeping#tab=summary,While You Were Sleeping
https://www.the-numbers.com/movie/Dangerous-Minds#tab=summary,Dangerous Minds
https://www.the-numbers.com/movie/Bridges-of-Madison-County-The-(1995)#tab=summary,The Bridges of Madison County
https://www.the-numbers.com/movie/12-Monkeys#tab=summary,12 Monkeys
https://www.the-numbers.com/movie/Crimson-Tide#tab=summary,Crimson Tide
https://www.the-numbers.com/movie/Congo#tab=summary,Congo
https://www.the-numbers.com/movie/Bad-Boys#tab=summary,Bad Boys
https://www.the-numbers.com/movie/Nine-Months#tab=summary,Nine Months
https://www.the-numbers.com/movie/Sense-and-Sensibility#tab=summary,Sense and Sensibility
https://www.the-numbers.com/movie/First-Knight#tab=summary,First Knight
https://www.the-numbers.com/movie/Mortal-Kombat#tab=summary,Mortal Kombat
https://www.the-numbers.com/movie/Get-Shorty#tab=summary,Get Shorty
https://www.the-numbers.com/movie/Judge-Dredd#tab=summary,Judge Dredd
https://www.the-numbers.com/movie/Species#tab=summary,Species
https://www.the-numbers.com/movie/Net-The#tab=summary,The Net
https://www.the-numbers.com/movie/Casino#tab=summary,Casino
https://www.the-numbers.com/movie/American-President-The#tab=summary,The American President
https://www.the-numbers.com/movie/Mr-Hollands-Opus#tab=summary,Mr. Hollandâs Opus
https://www.the-numbers.com/movie/Under-Siege-2-Dark-Territory#tab=summary,Under Siege 2: Dark Territory
https://www.the-numbers.com/movie/French-Kiss#tab=summary,French Kiss
https://www.the-numbers.com/movie/Sabrina#tab=summary,Sabrina
https://www.the-numbers.com/movie/Assassins-(1995)#tab=summary,Assassins
https://www.the-numbers.com/movie/Dead-Man-Walking#tab=summary,Dead Man Walking
https://www.the-numbers.com/movie/Waiting-to-Exhale-(1995)#tab=summary,Waiting to Exhale
https://www.the-numbers.com/movie/Something-to-Talk-About#tab=summary,Something to Talk About
https://www.the-numbers.com/movie/Money-Train#tab=summary,Money Train
https://www.the-numbers.com/movie/Father-of-the-Bride-Part-II#tab=summary,Father of the Bride Part II
https://www.the-numbers.com/movie/Grumpier-Old-Men#tab=summary,Grumpier Old Men
https://www.the-numbers.com/movie/Living-Sea-The#tab=summary,The Living Sea
https://www.the-numbers.com/movie/Clueless#tab=summary,Clueless
https://www.the-numbers.com/movie/Walk-in-the-Clouds-A-(1995)#tab=summary,A Walk in the Clouds
https://www.the-numbers.com/movie/Leaving-Las-Vegas#tab=summary,Leaving Las Vegas
https://www.the-numbers.com/movie/Brady-Bunch-Movie-The#tab=summary,The Brady Bunch Movie
https://www.the-numbers.com/movie/Man-of-the-House-(1995)#tab=summary,Man of the House
https://www.the-numbers.com/movie/Higher-Learning#tab=summary,Higher Learning
https://www.the-numbers.com/movie/Mighty-Morphin-Power-Rangers-The-Movie#tab=summary,Mighty Morphin Power Rangers: The Movie
https://www.the-numbers.com/movie/Showgirls#tab=summary,Showgirls
https://www.the-numbers.com/movie/Just-Cause#tab=summary,Just Cause
https://www.the-numbers.com/movie/To-Wong-Foo-Thanks-for-Everything-Julie-Newmar#tab=summary,"To Wong Foo Thanks for Everything, Julie Newmar"
https://www.the-numbers.com/movie/Across-The-Sea-of-Time#tab=summary,Across The Sea of Time
https://www.the-numbers.com/movie/Indian-in-the-Cupboard-The#tab=summary,The Indian in the Cupboard
https://www.the-numbers.com/movie/Goofy-Movie-A#tab=summary,A Goofy Movie
https://www.the-numbers.com/movie/Nixon#tab=summary,Nixon
https://www.the-numbers.com/movie/Usual-Suspects-The#tab=summary,The Usual Suspects
https://www.the-numbers.com/movie/Wings-of-Courage#tab=summary,Wings of Courage
https://www.the-numbers.com/movie/Forget-Paris#tab=summary,Forget Paris
https://www.the-numbers.com/movie/Tommy-Boy#tab=summary,Tommy Boy
https://www.the-numbers.com/movie/Copycat#tab=summary,Copycat
https://www.the-numbers.com/movie/Rob-Roy#tab=summary,Rob Roy
https://www.the-numbers.com/movie/Powder#tab=summary,Powder
https://www.the-numbers.com/movie/Free-Willy-2-The-Adventure-Home#tab=summary,Free Willy 2: The Adventure Home
https://www.the-numbers.com/movie/Major-Payne#tab=summary,Major Payne
https://www.the-numbers.com/movie/Friday-(1995)#tab=summary,Friday
https://www.the-numbers.com/movie/To-Die-For#tab=summary,To Die For
https://www.the-numbers.com/movie/Now-and-Then#tab=summary,Now and Then
https://www.the-numbers.com/movie/Houseguest#tab=summary,Houseguest
https://www.the-numbers.com/movie/Fair-Game#tab=summary,Fair Game
https://www.the-numbers.com/movie/Mighty-Aphrodite#tab=summary,Mighty Aphrodite
https://www.the-numbers.com/movie/Desperado#tab=summary,Desperado
https://www.the-numbers.com/movie/Billy-Madison#tab=summary,Billy Madison
https://www.the-numbers.com/movie/Operation-Dumbo-Drop#tab=summary,Operation Dumbo Drop
https://www.the-numbers.com/movie/Dolores-Claiborne#tab=summary,Dolores Claiborne
https://www.the-numbers.com/movie/Dead-Presidents#tab=summary,Dead Presidents
https://www.the-numbers.com/movie/Virtuosity#tab=summary,Virtuosity
https://www.the-numbers.com/movie/Tom-and-Huck#tab=summary,Tom and Huck
https://www.the-numbers.com/movie/How-to-Make-an-American-Quilt#tab=summary,How to Make an American Quilt
https://www.the-numbers.com/movie/Boys-on-the-Side#tab=summary,Boys on the Side
https://www.the-numbers.com/movie/Circle-of-Friends#tab=summary,Circle of Friends
https://www.the-numbers.com/movie/Home-for-the-Holidays#tab=summary,Home for the Holidays
https://www.the-numbers.com/movie/Don-Juan-DeMarco#tab=summary,Don Juan DeMarco
https://www.the-numbers.com/movie/Postino-Il#tab=summary,Il Postino
https://www.the-numbers.com/movie/Tales-from-the-Crypt-Demon-Knight#tab=summary,Tales from the Crypt: Demon Knight
https://www.the-numbers.com/movie/Kids#tab=summary,Kids
https://www.the-numbers.com/movie/Sudden-Death#tab=summary,Sudden Death
https://www.the-numbers.com/movie/Vampire-in-Brooklyn#tab=summary,Vampire in Brooklyn
https://www.the-numbers.com/movie/It-Takes-Two#tab=summary,It Takes Two
https://www.the-numbers.com/movie/Johnny-Mnemonic#tab=summary,Johnny Mnemonic
https://www.the-numbers.com/movie/Quick-and-the-Dead-The#tab=summary,The Quick and the Dead
https://www.the-numbers.com/movie/Cutthroat-Island#tab=summary,Cutthroat Island
https://www.the-numbers.com/movie/Big-Green-The#tab=summary,The Big Green
https://www.the-numbers.com/movie/Heavy-Weights#tab=summary,Heavy Weights
https://www.the-numbers.com/movie/Murder-in-the-First#tab=summary,Murder in the First
https://www.the-numbers.com/movie/Jury-Duty#tab=summary,Jury Duty
https://www.the-numbers.com/movie/Prophecy-The#tab=summary,The Prophecy
https://www.the-numbers.com/movie/Devil-in-a-Blue-Dress#tab=summary,Devil in a Blue Dress
