name,link
Pirates of the Caribbean: Dead Manâs Chest,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest#tab=summary
The Da Vinci Code,https://www.the-numbers.com/movie/Da-Vinci-Code-The#tab=summary
Ice Age: The Meltdown,https://www.the-numbers.com/movie/Ice-Age-The-Meltdown#tab=summary
Casino Royale,https://www.the-numbers.com/movie/Casino-Royale-(2006)#tab=summary
Night at the Museum,https://www.the-numbers.com/movie/Night-at-the-Museum#tab=summary
Cars,https://www.the-numbers.com/movie/Cars#tab=summary
X-Men: The Last Stand,https://www.the-numbers.com/movie/X-Men-The-Last-Stand#tab=summary
Mission: Impossible III,https://www.the-numbers.com/movie/Mission-Impossible-III#tab=summary
Superman Returns,https://www.the-numbers.com/movie/Superman-Returns#tab=summary
Happy Feet,https://www.the-numbers.com/movie/Happy-Feet#tab=summary
Over the Hedge,https://www.the-numbers.com/movie/Over-the-Hedge#tab=summary
The Devil Wears Prada,https://www.the-numbers.com/movie/Devil-Wears-Prada-The#tab=summary
The Pursuit of Happyness,https://www.the-numbers.com/movie/Pursuit-of-Happyness-The#tab=summary
The Departed,https://www.the-numbers.com/movie/Departed-The#tab=summary
Borat,https://www.the-numbers.com/movie/Borat#tab=summary
Eragon,https://www.the-numbers.com/movie/Eragon#tab=summary
Click,https://www.the-numbers.com/movie/Click#tab=summary
The Break-Up,https://www.the-numbers.com/movie/Break-Up-The#tab=summary
The Holiday,https://www.the-numbers.com/movie/Holiday-The#tab=summary
Open Season,https://www.the-numbers.com/movie/Open-Season-(2006)#tab=summary
Inside Man,https://www.the-numbers.com/movie/Inside-Man#tab=summary
Poseidon,https://www.the-numbers.com/movie/Poseidon#tab=summary
DÃ©jÃ  Vu,https://www.the-numbers.com/movie/Deja-Vu-(2006)#tab=summary
Flushed Away,https://www.the-numbers.com/movie/Flushed-Away#tab=summary
Scary Movie 4,https://www.the-numbers.com/movie/Scary-Movie-4#tab=summary
Blood Diamond,https://www.the-numbers.com/movie/Blood-Diamond#tab=summary
Saw III,https://www.the-numbers.com/movie/Saw-III#tab=summary
Miami Vice,https://www.the-numbers.com/movie/Miami-Vice#tab=summary
World Trade Center,https://www.the-numbers.com/movie/World-Trade-Center#tab=summary
Talladega Nights: The Ballad of Ricky Bobby,https://www.the-numbers.com/movie/Talladega-Nights-The-Ballad-of-Ricky-Bobby#tab=summary
The Pink Panther,https://www.the-numbers.com/movie/Pink-Panther-The-(2006)#tab=summary
The Fast and the Furious: Tokyo Drift,https://www.the-numbers.com/movie/Fast-and-the-Furious-Tokyo-Drift-The#tab=summary
Rocky Balboa,https://www.the-numbers.com/movie/Rocky-Balboa#tab=summary
Dreamgirls,https://www.the-numbers.com/movie/Dreamgirls#tab=summary
Garfield: A Tail of Two Kitties,https://www.the-numbers.com/movie/Garfield-A-Tail-of-Two-Kitties#tab=summary
Charlotte's Web,https://www.the-numbers.com/movie/Charlottes-Web#tab=summary
Monster House,https://www.the-numbers.com/movie/Monster-House#tab=summary
Big Momma's House 2,https://www.the-numbers.com/movie/Big-Mommas-House-2#tab=summary
Perfume: The Story of a Murderer,https://www.the-numbers.com/movie/Perfume-The-Story-of-a-Murderer#tab=summary
Babel,https://www.the-numbers.com/movie/Babel#tab=summary
"You, Me and Dupree",https://www.the-numbers.com/movie/You-Me-and-Dupree#tab=summary
V for Vendetta,https://www.the-numbers.com/movie/V-for-Vendetta#tab=summary
The Queen,https://www.the-numbers.com/movie/Queen-The#tab=summary
Nanny McPhee,https://www.the-numbers.com/movie/Nanny-McPhee#tab=summary
Failure to Launch,https://www.the-numbers.com/movie/Failure-to-Launch#tab=summary
Apocalypto,https://www.the-numbers.com/movie/Apocalypto#tab=summary
Eight Below,https://www.the-numbers.com/movie/Eight-Below#tab=summary
The Omen,https://www.the-numbers.com/movie/Omen-The-(2006)#tab=summary
Barnyard: The Original Party Animals,https://www.the-numbers.com/movie/Barnyard-The-Original-Party-Animals#tab=summary
The Lake House,https://www.the-numbers.com/movie/Lake-House-The#tab=summary
Underworld: Evolution,https://www.the-numbers.com/movie/Underworld-Evolution#tab=summary
Final Destination 3,https://www.the-numbers.com/movie/Final-Destination-3#tab=summary
Step Up,https://www.the-numbers.com/movie/Step-Up#tab=summary
Hoodwinked,https://www.the-numbers.com/movie/Hoodwinked#tab=summary
The Santa Clause 3: The Escape Clause,https://www.the-numbers.com/movie/Santa-Clause-3-The-Escape-Clause-The#tab=summary
The Prestige,https://www.the-numbers.com/movie/Prestige-The#tab=summary
Little Man,https://www.the-numbers.com/movie/Little-Man#tab=summary
Little Miss Sunshine,https://www.the-numbers.com/movie/Little-Miss-Sunshine#tab=summary
The Good Shepherd,https://www.the-numbers.com/movie/Good-Shepherd-The#tab=summary
Nacho Libre,https://www.the-numbers.com/movie/Nacho-Libre#tab=summary
The Wild,https://www.the-numbers.com/movie/Wild-The#tab=summary
The Guardian,https://www.the-numbers.com/movie/Guardian-The-(2006)#tab=summary
Silent Hill,https://www.the-numbers.com/movie/Silent-Hill#tab=summary
Deep Sea 3D,https://www.the-numbers.com/movie/Deep-Sea-3D#tab=summary
R.V.,https://www.the-numbers.com/movie/R-V#tab=summary
Volver,https://www.the-numbers.com/movie/Volver#tab=summary
The Shaggy Dog,https://www.the-numbers.com/movie/Shaggy-Dog-The-(2006)#tab=summary
El Laberinto del Fauno,https://www.the-numbers.com/movie/Laberinto-del-Fauno-El#tab=summary
Jackass: Number Two,https://www.the-numbers.com/movie/Jackass-Number-Two#tab=summary
Date Movie,https://www.the-numbers.com/movie/Date-Movie#tab=summary
Les BronzÃ©s 3: amis pour la vie,https://www.the-numbers.com/movie/Bronzes-3-Amis-Pour-La-Vie-Les#tab=summary
The Illusionist,https://www.the-numbers.com/movie/Illusionist-The#tab=summary
Firewall,https://www.the-numbers.com/movie/Firewall#tab=summary
Hostel,https://www.the-numbers.com/movie/Hostel#tab=summary
The Sentinel,https://www.the-numbers.com/movie/Sentinel-The#tab=summary
United 93,https://www.the-numbers.com/movie/United-93#tab=summary
Man cheng jin dai huang jin jia,https://www.the-numbers.com/movie/Man-cheng-jin-dai-huang-jin-jia#tab=summary
Lady in the Water,https://www.the-numbers.com/movie/Lady-in-the-Water#tab=summary
Curious George,https://www.the-numbers.com/movie/Curious-George#tab=summary
The Grudge 2,https://www.the-numbers.com/movie/Grudge-2-The#tab=summary
The Hills Have Eyes,https://www.the-numbers.com/movie/Hills-Have-Eyes-The#tab=summary
Children of Men,https://www.the-numbers.com/movie/Children-of-Men#tab=summary
John Tucker Must Die,https://www.the-numbers.com/movie/John-Tucker-Must-Die#tab=summary
Letters from Iwo Jima,https://www.the-numbers.com/movie/Letters-from-Iwo-Jima#tab=summary
When a Stranger Calls,https://www.the-numbers.com/movie/When-a-Stranger-Calls-(2006)#tab=summary
Huo Yuan Jia,https://www.the-numbers.com/movie/Huo-Yuan-Jia#tab=summary
16 Blocks,https://www.the-numbers.com/movie/16-Blocks#tab=summary
Take the Lead,https://www.the-numbers.com/movie/Take-the-Lead#tab=summary
The Benchwarmers,https://www.the-numbers.com/movie/Benchwarmers-The#tab=summary
Flags of Our Fathers,https://www.the-numbers.com/movie/Flags-of-Our-Fathers#tab=summary
Madea's Family Reunion,https://www.the-numbers.com/movie/Tyler-Perrys-Madeas-Family-Reunion#tab=summary
Snakes on a Plane,https://www.the-numbers.com/movie/Snakes-on-a-Plane#tab=summary
Umizaru 2: Limit of Love,https://www.the-numbers.com/movie/Umizaru-2-Limit-of-Love#tab=summary
Marie Antoinette,https://www.the-numbers.com/movie/Marie-Antoinette#tab=summary
My Super Ex-Girlfriend,https://www.the-numbers.com/movie/My-Super-Ex-Girlfriend#tab=summary
Invincible,https://www.the-numbers.com/movie/Invincible-(2006)#tab=summary
The Descent,https://www.the-numbers.com/movie/Descent-The#tab=summary
Lucky Number Slevin,https://www.the-numbers.com/movie/Lucky-Number-Slevin#tab=summary
She's the Man,https://www.the-numbers.com/movie/Shes-the-Man#tab=summary
Stranger Than Fiction,https://www.the-numbers.com/movie/Stranger-Than-Fiction#tab=summary
