name,link
Grease,https://www.the-numbers.com/movie/Grease#tab=summary
Superman,https://www.the-numbers.com/movie/Superman#tab=summary
Jaws 2,https://www.the-numbers.com/movie/Jaws-2#tab=summary
National Lampoon's Animal House,https://www.the-numbers.com/movie/National-Lampoons-Animal-House#tab=summary
Every Which Way but Loose,https://www.the-numbers.com/movie/Every-Which-Way-but-Loose#tab=summary
Heaven Can Wait,https://www.the-numbers.com/movie/Heaven-Can-Wait#tab=summary
Halloween,https://www.the-numbers.com/movie/Halloween-(1978)#tab=summary
Hooper,https://www.the-numbers.com/movie/Hooper#tab=summary
Convoy,https://www.the-numbers.com/movie/Convoy#tab=summary
California Suite,https://www.the-numbers.com/movie/California-Suite#tab=summary
Up in Smoke,https://www.the-numbers.com/movie/Up-in-Smoke#tab=summary
Foul Play,https://www.the-numbers.com/movie/Foul-Play#tab=summary
Revenge of the Pink Panther,https://www.the-numbers.com/movie/Revenge-of-the-Pink-Panther#tab=summary
Midnight Express,https://www.the-numbers.com/movie/Midnight-Express#tab=summary
Coming Home,https://www.the-numbers.com/movie/Coming-Home#tab=summary
The End,https://www.the-numbers.com/movie/End-The#tab=summary
House Calls,https://www.the-numbers.com/movie/House-Calls#tab=summary
The Cheap Detective,https://www.the-numbers.com/movie/Cheap-Detective-The#tab=summary
The Lord of the Rings,https://www.the-numbers.com/movie/Lord-of-the-Rings-The-(1978)#tab=summary
Invasion of the Body Snatchers,https://www.the-numbers.com/movie/Invasion-of-the-Body-Snatchers-(1978)#tab=summary
Damien: Omen II,https://www.the-numbers.com/movie/Damien-Omen-II#tab=summary
An Unmarried Woman,https://www.the-numbers.com/movie/Unmarried-Woman-An#tab=summary
Beyond and Back,https://www.the-numbers.com/movie/Beyond-and-Back#tab=summary
Magic,https://www.the-numbers.com/movie/Magic#tab=summary
"Same Time, Next Year",https://www.the-numbers.com/movie/Same-Time-Next-Year#tab=summary
The Wiz,https://www.the-numbers.com/movie/Wiz-The#tab=summary
F.I.S.T,https://www.the-numbers.com/movie/F-I-S-T#tab=summary
The Boys from Brazil,https://www.the-numbers.com/movie/Boys-from-Brazil-The#tab=summary
Eyes of Laura Mars,https://www.the-numbers.com/movie/Eyes-of-Laura-Mars#tab=summary
Good Guys Wear Black,https://www.the-numbers.com/movie/Good-Guys-Wear-Black#tab=summary
Death on the Nile,https://www.the-numbers.com/movie/Death-on-the-Nile#tab=summary
Ice Castles,https://www.the-numbers.com/movie/Ice-Castles#tab=summary
The Betsy,https://www.the-numbers.com/movie/Betsy-The#tab=summary
Corvette Summer,https://www.the-numbers.com/movie/Corvette-Summer#tab=summary
The Buddy Holly Story,https://www.the-numbers.com/movie/Buddy-Holly-Story-The#tab=summary
The Bad News Bears Go To Japan,https://www.the-numbers.com/movie/Bad-News-Bears-Go-To-Japan-The#tab=summary
The Greek Tycoon,https://www.the-numbers.com/movie/Greek-Tycoon-The#tab=summary
Sgt. Pepper's Lonely Hearts Club Band,https://www.the-numbers.com/movie/Sgt-Peppers-Lonely-Hearts-Club-Band#tab=summary
The Big Fix,https://www.the-numbers.com/movie/Big-Fix-The-(1978)#tab=summary
The Other Side of the Mountain Part II,https://www.the-numbers.com/movie/Other-Side-of-the-Mountain-Part-II-The#tab=summary
American Hot Wax,https://www.the-numbers.com/movie/American-Hot-Wax#tab=summary
Interiors,https://www.the-numbers.com/movie/Interiors#tab=summary
