name,link
Indiana Jones and the Last Crusade,https://www.the-numbers.com/movie/Indiana-Jones-and-the-Last-Crusade#tab=summary
Batman,https://www.the-numbers.com/movie/Batman#tab=summary
Back to the Future Part II,https://www.the-numbers.com/movie/Back-to-the-Future-Part-II#tab=summary
Look Who's Talking,https://www.the-numbers.com/movie/Look-Whos-Talking#tab=summary
Dead Poets Society,https://www.the-numbers.com/movie/Dead-Poets-Society#tab=summary
Lethal Weapon 2,https://www.the-numbers.com/movie/Lethal-Weapon-2#tab=summary
"Honey, I Shrunk the Kids",https://www.the-numbers.com/movie/Honey-I-Shrunk-the-Kids#tab=summary
The Little Mermaid,https://www.the-numbers.com/movie/Little-Mermaid-The#tab=summary
Ghostbusters II,https://www.the-numbers.com/movie/Ghostbusters-II#tab=summary
Licence to Kill,https://www.the-numbers.com/movie/Licence-to-Kill#tab=summary
Black Rain,https://www.the-numbers.com/movie/Black-Rain#tab=summary
Parenthood,https://www.the-numbers.com/movie/Parenthood#tab=summary
Driving Miss Daisy,https://www.the-numbers.com/movie/Driving-Miss-Daisy#tab=summary
Harlem Nights,https://www.the-numbers.com/movie/Harlem-Nights#tab=summary
Steel Magnolias,https://www.the-numbers.com/movie/Steel-Magnolias-(1989)#tab=summary
When Harry Met Sallyâ¦,https://www.the-numbers.com/movie/When-Harry-Met-Sally-(1989)#tab=summary
The War of the Roses,https://www.the-numbers.com/movie/War-of-the-Roses-The#tab=summary
Always,https://www.the-numbers.com/movie/Always#tab=summary
National Lampoon's Christmas Vacation,https://www.the-numbers.com/movie/National-Lampoons-Christmas-Vacation#tab=summary
Turner & Hooch,https://www.the-numbers.com/movie/Turner-and-Hooch#tab=summary
Star Trek V: The Final Frontier,https://www.the-numbers.com/movie/Star-Trek-V-The-Final-Frontier#tab=summary
Born on the Fourth of July,https://www.the-numbers.com/movie/Born-on-the-Fourth-of-July#tab=summary
Uncle Buck,https://www.the-numbers.com/movie/Uncle-Buck#tab=summary
Field of Dreams,https://www.the-numbers.com/movie/Field-of-Dreams#tab=summary
Tango & Cash,https://www.the-numbers.com/movie/Tango-and-Cash#tab=summary
Sea of Love,https://www.the-numbers.com/movie/Sea-of-Love#tab=summary
Pet Sematary,https://www.the-numbers.com/movie/Pet-Sematary#tab=summary
The Abyss,https://www.the-numbers.com/movie/Abyss-The#tab=summary
To the Limit,https://www.the-numbers.com/movie/To-the-Limit#tab=summary
Major League,https://www.the-numbers.com/movie/Major-League#tab=summary
"See No Evil, Hear No Evil",https://www.the-numbers.com/movie/See-No-Evil-Hear-No-Evil#tab=summary
Three Fugitives,https://www.the-numbers.com/movie/Three-Fugitives#tab=summary
Bill & Ted's Excellent Adventure,https://www.the-numbers.com/movie/Bill-and-Teds-Excellent-Adventure#tab=summary
K-9,https://www.the-numbers.com/movie/K-9#tab=summary
"The Karate Kid, Part III",https://www.the-numbers.com/movie/Karate-Kid-Part-III-The#tab=summary
"Sex, Lies, and Videotape",https://www.the-numbers.com/movie/Sex-Lies-and-Videotape#tab=summary
The `Burbs,https://www.the-numbers.com/movie/Burbs-The#tab=summary
Fletch Lives,https://www.the-numbers.com/movie/Fletch-Lives#tab=summary
Weekend at Bernie's,https://www.the-numbers.com/movie/Weekend-at-Bernies#tab=summary
Road House,https://www.the-numbers.com/movie/Road-House#tab=summary
Lean on Me,https://www.the-numbers.com/movie/Lean-on-Me#tab=summary
L'Ours,https://www.the-numbers.com/movie/Ours-L#tab=summary
Glory,https://www.the-numbers.com/movie/Glory#tab=summary
The Dream Team,https://www.the-numbers.com/movie/Dream-Team-The#tab=summary
All Dogs Go To Heaven,https://www.the-numbers.com/movie/All-Dogs-Go-To-Heaven#tab=summary
Do the Right Thing,https://www.the-numbers.com/movie/Do-the-Right-Thing#tab=summary
A Nightmare On Elm Street: The Dream Child,https://www.the-numbers.com/movie/Nightmare-on-Elm-Street-The-Dream-Child-A#tab=summary
Lock Up,https://www.the-numbers.com/movie/Lock-Up#tab=summary
Cousins,https://www.the-numbers.com/movie/Cousins#tab=summary
Say Anythingâ¦,https://www.the-numbers.com/movie/Say-Anything#tab=summary
Dad,https://www.the-numbers.com/movie/Dad#tab=summary
The Fly II,https://www.the-numbers.com/movie/Fly-II-The#tab=summary
An Innocent Man,https://www.the-numbers.com/movie/Innocent-Man-An#tab=summary
Blaze,https://www.the-numbers.com/movie/Blaze#tab=summary
Skin Deep,https://www.the-numbers.com/movie/Skin-Deep#tab=summary
Casualties of War,https://www.the-numbers.com/movie/Casualties-of-War#tab=summary
Crimes and Misdemeanors,https://www.the-numbers.com/movie/Crimes-and-Misdemeanors#tab=summary
The Fabulous Baker Boys,https://www.the-numbers.com/movie/Fabulous-Baker-Boys-The#tab=summary
Her Alibi,https://www.the-numbers.com/movie/Her-Alibi#tab=summary
Shocker,https://www.the-numbers.com/movie/Shocker#tab=summary
Prancer,https://www.the-numbers.com/movie/Prancer#tab=summary
No Holds Barred,https://www.the-numbers.com/movie/No-Holds-Barred#tab=summary
Next of Kin,https://www.the-numbers.com/movie/Next-of-Kin#tab=summary
Chances Are,https://www.the-numbers.com/movie/Chances-Are#tab=summary
Leviathan,https://www.the-numbers.com/movie/Leviathan-(1989)#tab=summary
She-Devil,https://www.the-numbers.com/movie/She-Devil#tab=summary
Kickboxer,https://www.the-numbers.com/movie/Kickboxer#tab=summary
Friday the 13th Part VIII: Jason Takes Manhattan,https://www.the-numbers.com/movie/Friday-the-13th-Part-VIII-Jason-Takes-Manhattan#tab=summary
The Wizard,https://www.the-numbers.com/movie/Wizard-The#tab=summary
My Left Foot: The Story of Christy Brown,https://www.the-numbers.com/movie/My-Left-Foot-The-Story-of-Christy-Brown#tab=summary
Great Balls of Fire!,https://www.the-numbers.com/movie/Great-Balls-of-Fire#tab=summary
Koneko monogatari,https://www.the-numbers.com/movie/Koneko-monogatari#tab=summary
Pink Cadillac,https://www.the-numbers.com/movie/Pink-Cadillac#tab=summary
She's Out of Control,https://www.the-numbers.com/movie/Shes-Out-of-Control#tab=summary
Physical Evidence,https://www.the-numbers.com/movie/Physical-Evidence#tab=summary
Halloween 5: The Revenge of Michael Myers,https://www.the-numbers.com/movie/Halloween-5-The-Revenge-of-Michael-Myers#tab=summary
Police Academy 6: City Under Siege,https://www.the-numbers.com/movie/Police-Academy-6-City-Under-Siege#tab=summary
Young Einstein,https://www.the-numbers.com/movie/Young-Einstein#tab=summary
Gross Anatomy,https://www.the-numbers.com/movie/Gross-Anatomy#tab=summary
Family Business,https://www.the-numbers.com/movie/Family-Business#tab=summary
Who's Harry Crumb?,https://www.the-numbers.com/movie/Whos-Harry-Crumb#tab=summary
New York Stories,https://www.the-numbers.com/movie/New-York-Stories#tab=summary
The Package,https://www.the-numbers.com/movie/Package-The-(1989)#tab=summary
We're No Angels,https://www.the-numbers.com/movie/Were-No-Angels#tab=summary
Sing,https://www.the-numbers.com/movie/Sing-(1989)#tab=summary
Henry V,https://www.the-numbers.com/movie/Henry-V#tab=summary
Cyborg,https://www.the-numbers.com/movie/Cyborg#tab=summary
