link,name
https://www.the-numbers.com/movie/Aladdin-(1992)#tab=summary,Aladdin
https://www.the-numbers.com/movie/Bodyguard-The#tab=summary,The Bodyguard
https://www.the-numbers.com/movie/Home-Alone-2-Lost-in-New-York#tab=summary,Home Alone 2: Lost in New York
https://www.the-numbers.com/movie/Basic-Instinct#tab=summary,Basic Instinct
https://www.the-numbers.com/movie/Lethal-Weapon-3#tab=summary,Lethal Weapon 3
https://www.the-numbers.com/movie/Batman-Returns#tab=summary,Batman Returns
https://www.the-numbers.com/movie/Few-Good-Men-A#tab=summary,A Few Good Men
https://www.the-numbers.com/movie/Sister-Act#tab=summary,Sister Act
https://www.the-numbers.com/movie/Dracula-(1992)#tab=summary,Bram Stoker's Dracula
https://www.the-numbers.com/movie/Waynes-World#tab=summary,Wayne's World
https://www.the-numbers.com/movie/Patriot-Games#tab=summary,Patriot Games
https://www.the-numbers.com/movie/Unforgiven#tab=summary,Unforgiven
https://www.the-numbers.com/movie/Alien-3#tab=summary,Alien 3
https://www.the-numbers.com/movie/Under-Siege#tab=summary,Under Siege
https://www.the-numbers.com/movie/Death-Becomes-Her#tab=summary,Death Becomes Her
https://www.the-numbers.com/movie/League-of-Their-Own-A#tab=summary,A League of Their Own
https://www.the-numbers.com/movie/Boomerang-(1992)#tab=summary,Boomerang
https://www.the-numbers.com/movie/Forever-Young-(1992)#tab=summary,Forever Young
https://www.the-numbers.com/movie/HouseSitter#tab=summary,HouseSitter
https://www.the-numbers.com/movie/White-Men-Cant-Jump#tab=summary,White Men Can't Jump
https://www.the-numbers.com/movie/Hand-That-Rocks-the-Cradle-The#tab=summary,The Hand That Rocks the Cradle
https://www.the-numbers.com/movie/Last-of-the-Mohicans-The#tab=summary,The Last of the Mohicans
https://www.the-numbers.com/movie/Stop-Or-My-Mom-Will-Shoot#tab=summary,Stop! Or My Mom Will Shoot
https://www.the-numbers.com/movie/Hero#tab=summary,Hero
https://www.the-numbers.com/movie/Scent-of-a-Woman#tab=summary,Scent of a Woman
https://www.the-numbers.com/movie/Crying-Game-The#tab=summary,The Crying Game
https://www.the-numbers.com/movie/Far-and-Away#tab=summary,Far and Away
