name,link
Titanic,https://www.the-numbers.com/movie/Titanic-(1997)#tab=summary
The Lost World: Jurassic Park,https://www.the-numbers.com/movie/Lost-World-Jurassic-Park#tab=summary
Men in Black,https://www.the-numbers.com/movie/Men-in-Black#tab=summary
Tomorrow Never Dies,https://www.the-numbers.com/movie/Tomorrow-Never-Dies#tab=summary
Air Force One,https://www.the-numbers.com/movie/Air-Force-One#tab=summary
As Good as it Gets,https://www.the-numbers.com/movie/As-Good-as-it-Gets#tab=summary
Liar Liar,https://www.the-numbers.com/movie/Liar-Liar#tab=summary
My Best Friend's Wedding,https://www.the-numbers.com/movie/My-Best-Friends-Wedding#tab=summary
The Fifth Element,https://www.the-numbers.com/movie/Fifth-Element-The#tab=summary
The Full Monty,https://www.the-numbers.com/movie/Full-Monty-The#tab=summary
Bean,https://www.the-numbers.com/movie/Bean#tab=summary
Hercules,https://www.the-numbers.com/movie/Hercules-(1997)#tab=summary
Face/Off,https://www.the-numbers.com/movie/Face-Off#tab=summary
Batman & Robin,https://www.the-numbers.com/movie/Batman-and-Robin#tab=summary
Good Will Hunting,https://www.the-numbers.com/movie/Good-Will-Hunting#tab=summary
Con Air,https://www.the-numbers.com/movie/Con-Air#tab=summary
Dante's Peak,https://www.the-numbers.com/movie/Dantes-Peak#tab=summary
Flubber,https://www.the-numbers.com/movie/Flubber#tab=summary
George Of The Jungle,https://www.the-numbers.com/movie/George-Of-The-Jungle#tab=summary
Scream 2,https://www.the-numbers.com/movie/Scream-2#tab=summary
The Saint,https://www.the-numbers.com/movie/Saint-The#tab=summary
Contact,https://www.the-numbers.com/movie/Contact#tab=summary
Alien: Resurrection,https://www.the-numbers.com/movie/Alien-Resurrection#tab=summary
The Jackal,https://www.the-numbers.com/movie/Jackal-The#tab=summary
Devil's Advocate,https://www.the-numbers.com/movie/Devils-Advocate#tab=summary
Speed 2: Cruise Control,https://www.the-numbers.com/movie/Speed-2-Cruise-Control#tab=summary
Conspiracy Theory,https://www.the-numbers.com/movie/Conspiracy-Theory#tab=summary
The Devil's Own,https://www.the-numbers.com/movie/Devils-Own-The#tab=summary
Anastasia,https://www.the-numbers.com/movie/Anastasia#tab=summary
Anaconda,https://www.the-numbers.com/movie/Anaconda#tab=summary
Seven Years in Tibet,https://www.the-numbers.com/movie/Seven-Years-in-Tibet#tab=summary
L.A. Confidential,https://www.the-numbers.com/movie/L-A-Confidential#tab=summary
