binned,year,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend,legs,production_budget,theater_counts,running_time,imdb_score,bb_profit,bb_profit_score,bb_score,domestic_share,international_share,genre
"(1980, 1985]",1983.1538461538462,119966300.34615384,85124612.84615384,205090913.19230768,10071110.692307692,3.7800000000000007,19088461.53846154,13.796153846153846,117.88235294117646,7.207692307692307,186002451.65384614,7.289350401506104,35.10254528105427,62.90451480571775,37.09548519428224,All
"(1985, 1990]",1988.4,110296066.125,102597260.125,212893326.25,13433803.725,3.7800000000000002,29540000.0,11.2225,113.88461538461539,7.147500000000001,183353326.25,7.185532397203116,35.02987267804219,59.78756849588583,40.21243150411415,All
"(1990, 1995]",1993.5483870967741,104145816.4623656,126084900.64516129,230230717.10752687,16296129.107526882,3.7799999999999927,43790860.21505377,9.2247311827957,120.49090909090908,6.947311827956989,186439856.89247313,7.306492111324745,35.114544477927325,49.375135242350815,50.62486475764917,All
"(1995, 2000]",1998.3141592920354,95695424.72566372,102412563.38053097,198107988.1061947,19380109.99557522,3.779999999999981,57730778.95575221,8.300884955752213,117.88571428571429,6.617699115044249,140377209.15044248,5.501318164275527,33.85092271499286,54.74317725542244,45.25682274457755,All
"(2000, 2005]",2003.0648967551622,98373044.48967552,97550414.53097345,195923459.02064896,25766546.064896755,3.779999999999979,59583438.33038348,6.3846607669616535,115.55555555555556,6.4825958702064925,136340020.69026548,5.343102608182136,33.74017182572753,58.48994968421343,41.51005031578655,All
"(2005, 2010]",2008.0358126721762,104471800.90082644,131143177.98898071,235614978.88980716,30384097.67217631,3.7799999999999785,71825619.83471075,5.674380165289255,110.77133105802048,6.430303030303031,163789359.05509642,6.418829534637507,34.49318067424627,52.62508022690973,47.374919773090255,All
"(2010, 2015]",2012.9289340101523,111109297.61167513,166788729.5862944,277898027.19796956,33379759.637055837,3.779999999999978,76152157.36040609,5.646192893401018,112.55897435897435,6.590101522842638,201745869.83756346,7.906327708193048,35.53442939573515,49.78641018150299,50.21358981849703,All
"(2015, 2020]",2017.4862068965517,129443391.48275863,207953178.69310346,337396570.1758621,40023718.73448276,3.77999999999998,82466206.89655173,5.44241379310345,113.42758620689655,6.61965517241379,254930363.27931035,9.990603507659273,36.9934224553615,46.01350783313172,53.98649216686829,All
